timestamp,library,collective,data_type,message_size_bytes,message_size_elements,num_ranks,rank,time_ms
20250530_124331,oneccl,allreduce,int,4096,1024,2,0,7.079
20250530_124331,oneccl,allreduce,int,4096,1024,2,1,3.699
20250530_125045,oneccl,allreduce,int,4096,1024,2,1,2.761
20250530_125045,oneccl,allreduce,int,4096,1024,2,0,3.324
