timestamp,library,collective,data_type,message_size_bytes,message_size_elements,num_ranks,rank,time_ms
20250530_125613,oneccl,allreduce,double,8192,1024,2,0,1.320
20250530_125613,oneccl,allreduce,double,8192,1024,2,1,1.262
